-Total- ATOMI: 1702 SCORIE: 1588 SCISSIONI: 1695 ENERGIA PRODOTTA:8548863 ENERGIA CONSUMATA: 8550000 ENERGIA ASSORBITA: 8444521

pid: 4986, parent pid: 4934, scoria: 1, inibito: 0
pid: 4985, parent pid: 4956, scoria: 1, inibito: 0
pid: 4987, parent pid: 4950, scoria: 1, inibito: 0
pid: 4988, parent pid: 4952, scoria: 1, inibito: 0
pid: 4989, parent pid: 4811, scoria: 1, inibito: 0
pid: 4990, parent pid: 4919, scoria: 1, inibito: 0
pid: 4991, parent pid: 4841, scoria: 1, inibito: 0
pid: 4992, parent pid: 4824, scoria: 1, inibito: 0
pid: 4995, parent pid: 4881, scoria: 1, inibito: 0
pid: 4994, parent pid: 4875, scoria: 1, inibito: 0
pid: 4993, parent pid: 4967, scoria: 1, inibito: 0
pid: 4996, parent pid: 4862, scoria: 1, inibito: 0
pid: 4997, parent pid: 0, scoria: 0, inibito: 0
pid: 4998, parent pid: 4877, scoria: 1, inibito: 0
pid: 5002, parent pid: 4889, scoria: 1, inibito: 0
pid: 5001, parent pid: 4898, scoria: 1, inibito: 0
pid: 5000, parent pid: 4970, scoria: 1, inibito: 0
pid: 5004, parent pid: 4983, scoria: 1, inibito: 0
pid: 5003, parent pid: 4879, scoria: 1, inibito: 0
pid: 5005, parent pid: 4982, scoria: 1, inibito: 0
pid: 5006, parent pid: 5000, scoria: 1, inibito: 0
pid: 5007, parent pid: 4913, scoria: 1, inibito: 0
pid: 5009, parent pid: 4836, scoria: 1, inibito: 0
pid: 5008, parent pid: 4897, scoria: 1, inibito: 0
pid: 5011, parent pid: 4988, scoria: 1, inibito: 0
pid: 5010, parent pid: 4948, scoria: 1, inibito: 0
pid: 5013, parent pid: 4925, scoria: 1, inibito: 0
pid: 5012, parent pid: 4955, scoria: 1, inibito: 0
pid: 5014, parent pid: 4807, scoria: 1, inibito: 0
pid: 5015, parent pid: 4870, scoria: 1, inibito: 0
pid: 5016, parent pid: 4916, scoria: 1, inibito: 0
pid: 5017, parent pid: 4973, scoria: 1, inibito: 0
pid: 5018, parent pid: 4982, scoria: 1, inibito: 0
pid: 5020, parent pid: 4886, scoria: 1, inibito: 0
pid: 5019, parent pid: 5009, scoria: 1, inibito: 0
pid: 5021, parent pid: 4953, scoria: 1, inibito: 0
pid: 5022, parent pid: 4884, scoria: 1, inibito: 0
pid: 5023, parent pid: 5002, scoria: 1, inibito: 0
pid: 5025, parent pid: 4822, scoria: 1, inibito: 0
pid: 5024, parent pid: 4892, scoria: 1, inibito: 0
pid: 5026, parent pid: 4827, scoria: 1, inibito: 0
pid: 5028, parent pid: 4982, scoria: 1, inibito: 0
pid: 5027, parent pid: 4875, scoria: 1, inibito: 0
pid: 5029, parent pid: 4927, scoria: 1, inibito: 0
pid: 5031, parent pid: 4901, scoria: 1, inibito: 0
pid: 5032, parent pid: 4881, scoria: 1, inibito: 0
pid: 5030, parent pid: 4944, scoria: 1, inibito: 0
pid: 5034, parent pid: 4869, scoria: 1, inibito: 0
pid: 5033, parent pid: 4900, scoria: 1, inibito: 0
pid: 5035, parent pid: 4824, scoria: 1, inibito: 0
pid: 5036, parent pid: 4816, scoria: 1, inibito: 0
pid: 5037, parent pid: 4913, scoria: 1, inibito: 0
pid: 5040, parent pid: 4818, scoria: 1, inibito: 0
pid: 5039, parent pid: 4966, scoria: 1, inibito: 0
pid: 5038, parent pid: 4855, scoria: 1, inibito: 0
pid: 5042, parent pid: 5035, scoria: 1, inibito: 0
pid: 5041, parent pid: 5008, scoria: 1, inibito: 0
pid: 5044, parent pid: 4883, scoria: 1, inibito: 0
pid: 5043, parent pid: 4841, scoria: 1, inibito: 0
pid: 5045, parent pid: 5025, scoria: 1, inibito: 0
pid: 5046, parent pid: 4838, scoria: 1, inibito: 0
pid: 5047, parent pid: 4964, scoria: 1, inibito: 0
pid: 5048, parent pid: 5031, scoria: 1, inibito: 0
pid: 5049, parent pid: 4853, scoria: 1, inibito: 0
pid: 5051, parent pid: 4807, scoria: 1, inibito: 0
pid: 5050, parent pid: 4977, scoria: 1, inibito: 0
pid: 5052, parent pid: 4940, scoria: 1, inibito: 0
pid: 5053, parent pid: 4829, scoria: 1, inibito: 0
pid: 5054, parent pid: 4945, scoria: 1, inibito: 0
pid: 5055, parent pid: 4968, scoria: 1, inibito: 0
pid: 5057, parent pid: 4814, scoria: 1, inibito: 0
pid: 5058, parent pid: 4970, scoria: 1, inibito: 0
pid: 5056, parent pid: 4938, scoria: 1, inibito: 0
pid: 5059, parent pid: 5038, scoria: 1, inibito: 0
pid: 5060, parent pid: 4906, scoria: 1, inibito: 0
pid: 5062, parent pid: 5053, scoria: 1, inibito: 0
pid: 5061, parent pid: 4816, scoria: 1, inibito: 0
pid: 5064, parent pid: 4837, scoria: 1, inibito: 0
pid: 5063, parent pid: 4827, scoria: 1, inibito: 0
pid: 5065, parent pid: 4979, scoria: 1, inibito: 0
pid: 5066, parent pid: 4975, scoria: 1, inibito: 0
pid: 5067, parent pid: 4900, scoria: 1, inibito: 0
pid: 5068, parent pid: 4906, scoria: 1, inibito: 0
pid: 5069, parent pid: 5015, scoria: 1, inibito: 0
pid: 5070, parent pid: 4859, scoria: 1, inibito: 0
pid: 5071, parent pid: 4944, scoria: 1, inibito: 0
pid: 5072, parent pid: 4815, scoria: 0, inibito: 0
pid: 5073, parent pid: 4945, scoria: 1, inibito: 0
pid: 5074, parent pid: 4916, scoria: 1, inibito: 0
pid: 5076, parent pid: 4833, scoria: 1, inibito: 0
pid: 5075, parent pid: 5046, scoria: 1, inibito: 0
pid: 5078, parent pid: 5064, scoria: 0, inibito: 0
pid: 5077, parent pid: 5049, scoria: 1, inibito: 0
pid: 5079, parent pid: 4823, scoria: 1, inibito: 0
pid: 5080, parent pid: 5071, scoria: 1, inibito: 0
pid: 5083, parent pid: 4825, scoria: 1, inibito: 0
pid: 5081, parent pid: 4984, scoria: 1, inibito: 0
pid: 5082, parent pid: 4991, scoria: 1, inibito: 0
pid: 5084, parent pid: 4945, scoria: 1, inibito: 0
pid: 5085, parent pid: 4991, scoria: 1, inibito: 0
pid: 5086, parent pid: 4943, scoria: 1, inibito: 0
pid: 5087, parent pid: 5014, scoria: 1, inibito: 0
pid: 5088, parent pid: 4837, scoria: 1, inibito: 0
pid: 5091, parent pid: 4834, scoria: 1, inibito: 0
pid: 5090, parent pid: 4862, scoria: 1, inibito: 0
pid: 5089, parent pid: 4979, scoria: 1, inibito: 0
pid: 5093, parent pid: 4876, scoria: 1, inibito: 0
pid: 5092, parent pid: 4987, scoria: 1, inibito: 0
pid: 5094, parent pid: 4928, scoria: 1, inibito: 0
pid: 5095, parent pid: 4971, scoria: 1, inibito: 0
pid: 5096, parent pid: 5004, scoria: 1, inibito: 0
pid: 5099, parent pid: 4996, scoria: 1, inibito: 0
pid: 5097, parent pid: 4933, scoria: 1, inibito: 0
pid: 5098, parent pid: 4839, scoria: 1, inibito: 0
pid: 5100, parent pid: 5031, scoria: 1, inibito: 0
pid: 5101, parent pid: 5046, scoria: 1, inibito: 0
pid: 5104, parent pid: 5088, scoria: 1, inibito: 0
pid: 5102, parent pid: 4870, scoria: 1, inibito: 0
pid: 5103, parent pid: 5027, scoria: 1, inibito: 0
pid: 5105, parent pid: 4887, scoria: 1, inibito: 0
pid: 5106, parent pid: 4913, scoria: 1, inibito: 0
pid: 5108, parent pid: 4954, scoria: 1, inibito: 0
pid: 5107, parent pid: 4966, scoria: 1, inibito: 0
pid: 5109, parent pid: 5043, scoria: 1, inibito: 0
pid: 5110, parent pid: 4958, scoria: 1, inibito: 0
pid: 5111, parent pid: 5075, scoria: 1, inibito: 0
pid: 5112, parent pid: 4840, scoria: 1, inibito: 0
pid: 5113, parent pid: 4839, scoria: 1, inibito: 0
pid: 5115, parent pid: 5062, scoria: 1, inibito: 0
pid: 5114, parent pid: 5068, scoria: 1, inibito: 0
pid: 5118, parent pid: 4818, scoria: 1, inibito: 0
pid: 5117, parent pid: 4892, scoria: 1, inibito: 0
pid: 5116, parent pid: 5041, scoria: 1, inibito: 0
pid: 5119, parent pid: 4883, scoria: 1, inibito: 0
pid: 5121, parent pid: 4907, scoria: 1, inibito: 0
pid: 5120, parent pid: 5037, scoria: 1, inibito: 0
pid: 5122, parent pid: 5023, scoria: 1, inibito: 0
pid: 5123, parent pid: 4914, scoria: 1, inibito: 0
pid: 5124, parent pid: 5117, scoria: 1, inibito: 0
pid: 5125, parent pid: 4840, scoria: 1, inibito: 0
pid: 5127, parent pid: 4896, scoria: 1, inibito: 0
pid: 5126, parent pid: 4815, scoria: 1, inibito: 0
pid: 5128, parent pid: 4991, scoria: 1, inibito: 0
pid: 5130, parent pid: 4841, scoria: 1, inibito: 0
pid: 5131, parent pid: 4919, scoria: 1, inibito: 0
pid: 5132, parent pid: 4878, scoria: 1, inibito: 0
pid: 5133, parent pid: 4903, scoria: 1, inibito: 0
pid: 5134, parent pid: 4974, scoria: 1, inibito: 0
pid: 5137, parent pid: 5107, scoria: 1, inibito: 0
pid: 5136, parent pid: 4944, scoria: 1, inibito: 0
pid: 5135, parent pid: 5094, scoria: 1, inibito: 0
pid: 5138, parent pid: 5042, scoria: 1, inibito: 0
pid: 5139, parent pid: 4862, scoria: 1, inibito: 0
